uer_id, if_target, age, sex, innet_age, arpu, grp_type, is_city, brand, price, dou, cnt_call, cnt_other_ts, is_login_active
1101101346275763, 0, 20, 0, 4, 0, GeRen, 1, XiaoMi, 599, 0, 1, 0, 1
1101101350909451, 0, 48, 0, 3, 0, GeRen, 1, PingGuo, 2300, 0, 1, 0, 0
1101300029722315, 0, 43, 1, 73, 8, JiaTing, 1, XiaoMi, 599, .79, 2, 0, 1
1103101377746283, 0, 62, 1, 2, 1.19, JiaTing, 1, OPPO, 1000, 0, 1, 0, 1
1101300034597755, 0, 30, 1, 68, 208, JiTuan, 1, PingGuo, 6535, 1.96, 9, 0, 1
1101300031944587, 0, 57, 1, 71, 39, GeRen, 1, PingGuo, 2300, .77, 1, 0, 0
1101300046375266, 0, 50, 0, 63, 195.47, GeRen, 1, HuaWei, 599, .06, 16, 0, 0
1101300059875810, 0, 45, 1, 57, 141.86, GeRen, 1, PingGuo, 6535, 2.3, 1, 0, 1
1103101356883007, 0, 63, 1, 3, 0, JiaTing, 1, OPPO, 2452, 0, 1, 0, 0
1103200005876025, 0, 54, 0, 165, 34.02, GeRen, 1, ZhongXing, 799, 0, 4, 0, 0
1199101343423639, 0, 42, 0, 4, 0, GeRen, 1, OPPO, 1009, 0, 1, 0, 0
1199101117664154, 0, 50, 0, 23, 55.29, GeRen, 1, XiaoMi, 900, 0, 8, 0, 0
1199101134265991, 0, 36, 1, 21, 135.65, GeRen, 1, HuaWei, 1399, 0, 1, 0, 1
1106300081274950, 0, 30, 0, 47, 19, JiaTing, 1, XiaoMi, 599, .52, 1, 0, 0
1106300098028003, 1, 44, 1, 36, 140.74, JiTuan, 1, RongYao, 2429, 1.13, 7, 0, 0
1106300035506245, 0, 50, 1, 67, 59.05, GeRen, 1, HuaWei, 1260, .02, 6, 0, 0
1106300039697718, 0, 27, 0, 58, 19, JiaTing, 1, vivo, 1197, 0, 1, 0, 0
1106300069038916, 0, 21, 0, 51, 76.14, JiaTing, 1, XiaoMi, 2499.33, 4.18, 1, 0, 0
1199101273580034, 0, 19, 1, 9, 69, JiTuan, 1, OPPO, 3099, 0, 1, 0, 1
1199101280610410, 0, 20, 1, 9, 25.2, JiaTing, 1, PingGuo, 4757, 0, 2, 0, 1
1199101268817376, 0, 49, 0, 9, 29.1, JiTuan, 1, XiaoMi, 1999, 0, 5, 0, 1
1101300051302469, 0, 32, 0, 60, 20.19, GeRen, 1, XiaoMi, 599, .62, 1, 0, 1
1101300065924396, 1, 24, 0, 53, 103.1, GeRen, 1, PingGuo, 599, 6.42, 8, 0, 0
1103200011454018, 0, 34, 0, 146, 68, GeRen, 1, HuaWei, 3679.2, .61, 2, 0, 1
1103200001402337, 0, 48, 0, 203, 180, JiTuan, 1, OPPO, 1294, 0, 5, 0, 1
1107101357840104, 0, 36, 0, 3, 0, GeRen, 1, PingGuo, 599, 0, 1, 0, 0
1106300051622926, 0, 36, 1, 61, 109.45, GeRen, 1, OPPO, 3184.14, 1.26, 2, 0, 1
1104200021817120, 1, 41, 0, 118, 129, JiTuan, 1, PingGuo, 5734.6, 1.6, 6, 0, 0
