,class_number,is_rong,is_new,is_active,online_dur,cust_age,sex,offer_type,month_charge,arpu,avg_flow,month_flow,flow_trend,trmnl_kind,thrmonth_avgarpu,arpu_trend,trmnl_month,is_contract,agr_exp_date,callll_dur,calling_dur,called_dur,roamcall_dur,call_dur_avg,calling_dur_avg,called_dur_avg,roamcall_dur_avg,thrmon_call_trend,thrmon_calling_trend,thrmon_called_trend,thrmon_roamcall_trend,calling_flow,is_zeroflow,is_highflow,is_flow_over,flow_rate,predict,target,prob
883,0,0,0,1,24,47,1,0,4882,2292,0.019191424,0.057574272,3.0,2,1524.0,1.503937008,290,0,23800,384.0,209.0,174.0,0.0,437.0,258.0,0.0,0.0,0.878718535,0.810077519,0.0,0.0,0.544270833,1,0,0,0.0028808590000000004,0,0,[0.99814795 0.00185205]
683,0,0,0,1,27,68,1,0,3213,1140,0.001462301,0.0,0.0,2,1140.0,1.0,118,0,23800,33.0,4.0,29.0,0.0,36.0,6.0,0.0,0.0,0.916666667,0.666666667,0.0,0.0,0.12121212099999999,1,0,0,0.0,0,0,[9.99751446e-01 2.48553625e-04]
422,0,0,0,1,44,64,1,0,4352,4518,55.07082303,165.2124691,3.0,2,3384.333333,1.334974884,104,0,23800,19847.6,102.6,191.0,18453.0,20456.1,369.1,533.0,0.0,0.9702533720000001,0.277973449,0.358348968,0.0,0.005169391,0,0,1,8.270507813,0,0,[0.99580444 0.00419556]
439,0,0,0,1,35,62,1,0,4570,1163,0.0,0.0,0.0,2,1163.0,1.0,91,0,23800,121.1,26.1,95.0,0.1,125.3,0.0,99.2,0.0,0.966480447,0.0,0.95766129,0.0,0.21552436,1,0,0,0.0,0,0,[9.99922961e-01 7.70386234e-05]
74,0,2,0,1,54,32,0,0,22558,8007,1333.905499,3707.4801020000004,2.779417361,2,7397.0,1.082465865,109,0,23800,16977.5,356.8,68.7,16835.2,17754.0,370.3,0.0,0.0,0.9562633770000001,0.963543073,0.0,0.0,0.021016051,0,1,1,1.810573101,0,1,[0.95456666 0.04543334]
109,2,0,0,1,58,49,1,0,30262,21422,396.7147392,1190.144217,3.0,2,9632.333333,2.223967886,97,0,23800,4296.0,77.0,241.0,3978.0,4740.3,226.3,536.0,0.0,0.906271755,0.34025629700000004,0.449626866,0.0,0.01792365,0,1,1,59.51162109,0,1,[0.98130735 0.01869265]
193,0,2,0,1,31,27,0,0,10822,4268,19.4113938,56.82721519,2.927518538,1,4198.0,1.0166746070000001,1023,0,23800,1274.5,74.5,38.0,1162.0,1559.5,239.5,157.0,0.0,0.817249118,0.311064718,0.242038217,0.0,0.058454295999999996,0,0,0,0.05554676099999999,1,1,[0.04774116 0.95225884]
239,0,2,0,1,40,42,0,0,12201,4607,904.8580491,2714.574147,3.0,2,4600.333333,1.00144917,107,0,23800,10523.4,95.4,73.0,10355.0,10544.4,116.4,0.0,0.0,0.9980084220000001,0.819587629,0.0,0.0,0.009065511,0,1,1,1.3255777359999998,0,0,[0.99413256 0.00586744]
404,0,0,0,1,28,34,0,0,1155,1295,10.53313351,31.59940052,3.0,2,1191.666667,1.086713287,99,0,23800,1091.4,87.2,7.2,998.2,1122.4,0.0,38.2,0.0,0.972380613,0.0,0.188481675,0.0,0.07989738,0,0,1,1.580517578,0,0,[9.99523922e-01 4.76077807e-04]
77,0,2,0,1,49,51,0,0,16332,3489,198.45044009999998,595.3277072999999,2.999881013,2,3948.333333,0.883663993,202,0,0,979.0,6.0,3.0,970.0,1027.5,41.0,0.0,986.6,0.9527980540000001,0.146341463,0.0,0.9831745390000001,0.006128703,0,1,0,0.581396103,0,1,[0.99433526 0.00566474]
243,0,2,0,1,22,47,0,0,13039,3702,230.0009184,689.8320522000001,2.999257816,2,3702.0,1.0,248,0,23800,9514.0,2.0,2.0,0.0,9536.5,20.5,5.0,0.0,0.9976406440000001,0.097560976,0.4,0.0,0.000210217,0,1,0,0.6737480159999999,0,0,[0.90699272 0.09300728]
508,0,0,0,1,93,51,1,0,22481,11729,347.36017799999996,1038.331168,2.989206115,0,5963.0,1.9669629380000002,291,0,23800,13041.3,155.7,210.6,13034.3,13702.6,390.0,381.6,13504.7,0.9517390859999999,0.399230769,0.551886792,0.965167682,0.011938994,0,1,1,2.595944824,0,0,[0.9846354 0.0153646]
254,4,2,0,1,36,37,1,0,10333,8892,28.97176075,86.91528225,3.0,2,9191.333333,0.967433089,95,0,388,569.8,9.8,6.0,490.0,571.8,11.8,0.0,0.0,0.996502274,0.830508475,0.0,0.0,0.017199017,0,0,0,0.072443034,0,0,[0.99877277 0.00122723]
534,0,0,0,1,48,39,1,0,4592,3095,70.83197085,95.51314449,1.348446801,2,2696.666667,1.147713226,135,0,-11,8702.8,55.8,53.0,0.0,9192.6,181.6,203.0,0.0,0.946718012,0.307268722,0.261083744,0.0,0.00641173,0,0,0,1.0,0,0,[0.96477442 0.03522558]
593,0,0,0,1,64,63,1,0,12845,7540,118.79819009999999,324.910017,2.73497447,2,5780.0,1.30449827,213,0,23800,11180.4,279.2,136.2,9433.2,11948.7,440.3,297.4,10090.5,0.935700118,0.634113105,0.457969065,0.9348595209999999,0.024972273,0,0,1,1.251183143,0,0,[0.99164778 0.00835222]
266,0,0,0,1,58,28,0,0,6291,4163,58.90766970000001,176.5880318,2.997708663,2,2654.333333,1.5683787519999999,105,0,23800,21420.2,31.2,49.0,21338.0,21526.2,73.2,106.0,0.0,0.995075768,0.426229508,0.462264151,0.0,0.001456569,0,0,1,8.836279297,0,0,[9.99154095e-01 8.45905102e-04]
843,0,0,0,1,35,64,1,0,4611,1140,0.0,0.0,0.0,0,1140.0,1.0,131,0,23800,208.3,20.3,188.0,0.0,235.3,47.3,0.0,0.0,0.8852528690000001,0.429175476,0.0,0.0,0.09745559300000001,1,0,0,0.0,0,0,[9.99906498e-01 9.35018526e-05]
